Mathematics,Chemistry,Biology,Physics,Geography,English,Field_of_Interest,Course
D,C,F,C,A,A,Computer,Electrical and Computer Engineering
D,A,C,D,A,F,Solar Electricity,Electrical and Renewable Energy
D,C,C,F,D,D,Solar Electricity,Electrical and Renewable Energy
A,F,B,B,A,B,Networks,Electrical and Computer Engineering
C,B,C,B,C,A,Computer,Electrical and Computer Engineering
C,B,F,C,C,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,B,C,C,B,D,Solar Electricity,Electrical and Renewable Energy
A,F,D,D,D,F,Networks,Electrical and Computer Engineering
D,F,B,A,B,C,Electronics,Electronics and Telecommunication Engineering
A,D,D,C,C,C,Electronics,Electronics and Telecommunication Engineering
D,C,F,C,C,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,C,F,C,C,A,Solar Electricity,Electrical and Renewable Energy
B,D,C,D,F,F,Electronics,Electronics and Telecommunication Engineering
F,B,A,F,A,B,Networks,Electrical and Computer Engineering
D,C,A,C,B,F,Networks,Electrical and Computer Engineering
C,C,F,F,B,B,Solar Electricity,Electrical and Renewable Energy
F,B,F,D,C,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,A,B,A,F,D,Networks,Electrical and Computer Engineering
D,A,F,B,B,C,Computer,Electrical and Computer Engineering
F,D,F,B,B,F,Networks,Electrical and Computer Engineering
D,F,B,B,F,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,C,D,B,C,A,Networks,Electrical and Computer Engineering
F,C,D,D,F,F,Electronics,Electronics and Telecommunication Engineering
B,D,B,B,A,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,D,B,D,B,D,Electronics,Electronics and Telecommunication Engineering
B,C,D,A,A,A,Electronics,Electronics and Telecommunication Engineering
D,B,D,C,B,B,Solar Electricity,Electrical and Renewable Energy
C,B,D,C,A,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,F,D,C,B,F,Electronics,Electronics and Telecommunication Engineering
C,C,C,D,C,F,Solar Electricity,Electrical and Renewable Energy
A,C,B,D,D,A,Solar Electricity,Electrical and Renewable Energy
F,C,A,D,F,D,Electronics,Electronics and Telecommunication Engineering
F,C,C,A,B,A,Electronics,Electronics and Telecommunication Engineering
C,D,A,F,F,B,Computer,Electrical and Computer Engineering
F,A,A,D,B,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,C,F,D,D,F,Solar Electricity,Electrical and Renewable Energy
C,A,B,C,C,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,B,C,B,C,C,Solar Electricity,Electrical and Renewable Energy
B,F,B,B,F,B,Networks,Electrical and Computer Engineering
B,B,D,A,D,D,Networks,Electrical and Computer Engineering
B,C,B,B,F,D,Solar Electricity,Electrical and Renewable Energy
D,B,A,F,C,A,Computer,Electrical and Computer Engineering
A,D,D,C,A,D,Networks,Electrical and Computer Engineering
F,A,B,A,F,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,C,B,B,B,C,Electronics,Electronics and Telecommunication Engineering
A,D,A,B,C,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,A,D,C,B,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,D,A,A,D,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,B,B,C,C,F,Solar Electricity,Electrical and Renewable Energy
B,C,C,A,C,D,Solar Electricity,Electrical and Renewable Energy
B,B,C,B,F,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,F,F,C,F,D,Electronics,Electronics and Telecommunication Engineering
A,C,C,C,B,B,Computer,Electrical and Computer Engineering
A,B,D,F,F,F,Computer,Electrical and Computer Engineering
C,C,F,C,A,D,Networks,Electrical and Computer Engineering
D,A,D,A,C,F,Networks,Electrical and Computer Engineering
A,C,C,F,D,C,Electronics,Electronics and Telecommunication Engineering
D,C,C,C,C,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,A,B,C,B,F,Solar Electricity,Electrical and Renewable Energy
B,B,D,F,F,B,Networks,Electrical and Computer Engineering
B,C,A,B,C,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,D,B,C,F,D,Computer,Electrical and Computer Engineering
D,C,D,D,B,B,Electronics,Electronics and Telecommunication Engineering
D,B,F,B,F,A,Solar Electricity,Electrical and Renewable Energy
C,A,D,C,D,A,Solar Electricity,Electrical and Renewable Energy
B,B,F,B,B,F,Networks,Electrical and Computer Engineering
C,F,F,A,C,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,C,C,B,C,D,Solar Electricity,Electrical and Renewable Energy
C,C,A,F,D,D,Computer,Electrical and Computer Engineering
C,A,D,C,A,F,Computer,Electrical and Computer Engineering
F,C,A,B,F,F,Electronics,Electronics and Telecommunication Engineering
C,D,F,D,C,D,Electronics,Electronics and Telecommunication Engineering
D,D,C,A,D,A,Computer,Electrical and Computer Engineering
C,B,A,A,F,D,Computer,Electrical and Computer Engineering
B,A,B,B,B,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,F,F,F,D,D,Solar Electricity,Electrical and Renewable Energy
A,B,B,A,B,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,A,A,B,B,D,Electronics,Electronics and Telecommunication Engineering
A,A,A,B,B,A,Electronics,Electronics and Telecommunication Engineering
B,B,A,A,F,A,Electronics,Electronics and Telecommunication Engineering
D,B,D,B,A,F,Solar Electricity,Electrical and Renewable Energy
D,C,F,B,B,F,Networks,Electrical and Computer Engineering
D,F,F,D,C,B,Electronics,Electronics and Telecommunication Engineering
A,D,F,B,F,C,Electronics,Electronics and Telecommunication Engineering
F,C,D,B,F,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,A,A,F,B,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,F,A,A,C,F,Networks,Electrical and Computer Engineering
B,F,B,F,D,D,Networks,Electrical and Computer Engineering
A,B,D,C,F,B,Networks,Electrical and Computer Engineering
F,F,C,F,B,C,Networks,Electrical and Computer Engineering
A,F,D,C,B,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,A,B,C,A,A,Electronics,Electronics and Telecommunication Engineering
F,C,B,F,A,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,F,B,D,D,B,Computer,Electrical and Computer Engineering
A,B,A,F,D,B,Computer,Electrical and Computer Engineering
D,C,C,A,D,F,Electronics,Electronics and Telecommunication Engineering
B,B,B,F,D,D,Networks,Electrical and Computer Engineering
C,F,F,D,B,A,Electronics,Electronics and Telecommunication Engineering
C,C,A,F,B,C,Computer,Electrical and Computer Engineering
A,F,C,D,B,D,Electronics,Electronics and Telecommunication Engineering
B,A,F,A,C,B,Networks,Electrical and Computer Engineering
B,C,C,B,D,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,B,C,D,C,B,Networks,Electrical and Computer Engineering
B,A,F,D,F,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,D,D,D,F,C,Computer,Electrical and Computer Engineering
A,B,C,A,B,D,Solar Electricity,Electrical and Renewable Energy
D,F,D,C,F,C,Electronics,Electronics and Telecommunication Engineering
B,B,C,D,B,C,Solar Electricity,Electrical and Renewable Energy
A,D,F,A,D,D,Networks,Electrical and Computer Engineering
B,B,C,B,C,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,A,B,D,B,C,Networks,Electrical and Computer Engineering
B,B,B,C,A,B,Networks,Electrical and Computer Engineering
D,C,C,A,A,D,Computer,Electrical and Computer Engineering
D,D,F,B,D,C,Networks,Electrical and Computer Engineering
B,B,F,C,C,C,Electronics,Electronics and Telecommunication Engineering
A,D,A,B,B,C,Computer,Electrical and Computer Engineering
C,A,F,C,D,B,Solar Electricity,Electrical and Renewable Energy
D,C,D,F,C,F,Networks,Electrical and Computer Engineering
D,F,C,F,A,F,Solar Electricity,Electrical and Renewable Energy
C,B,B,F,B,D,Electronics,Electronics and Telecommunication Engineering
B,A,F,B,C,F,Electronics,Electronics and Telecommunication Engineering
A,D,B,F,F,A,Electronics,Electronics and Telecommunication Engineering
B,D,A,A,B,D,Solar Electricity,Electrical and Renewable Energy
F,A,C,A,F,D,Solar Electricity,Electrical and Renewable Energy
D,B,F,F,D,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,F,B,C,C,A,Computer,Electrical and Computer Engineering
D,B,F,C,C,F,Networks,Electrical and Computer Engineering
D,C,A,B,C,D,Computer,Electrical and Computer Engineering
F,B,B,C,C,A,Electronics,Electronics and Telecommunication Engineering
F,C,B,D,B,B,Networks,Electrical and Computer Engineering
B,D,C,C,F,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,C,C,A,F,C,Computer,Electrical and Computer Engineering
B,F,B,C,D,A,Electronics,Electronics and Telecommunication Engineering
B,A,C,B,D,D,Networks,Electrical and Computer Engineering
B,C,B,C,C,B,Networks,Electrical and Computer Engineering
D,B,D,B,A,B,Electronics,Electronics and Telecommunication Engineering
D,C,F,D,A,F,Solar Electricity,Electrical and Renewable Energy
F,D,D,F,C,F,Computer,Electrical and Computer Engineering
D,C,D,D,F,A,Networks,Electrical and Computer Engineering
F,F,F,A,D,F,Solar Electricity,Unknown
D,C,B,D,B,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,F,B,D,A,D,Networks,Electrical and Computer Engineering
A,B,C,A,D,D,Networks,Electrical and Computer Engineering
F,D,A,A,A,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,A,B,F,F,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,B,F,F,F,F,Networks,Unknown
B,B,A,C,C,C,Electronics,Electronics and Telecommunication Engineering
C,A,F,B,C,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,C,F,A,A,D,Solar Electricity,Electrical and Renewable Energy
C,C,F,D,A,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,C,A,D,D,B,Networks,Electrical and Computer Engineering
F,D,D,F,C,D,Networks,Electrical and Computer Engineering
D,B,F,B,F,D,Computer,Electrical and Computer Engineering
F,F,C,A,D,B,Solar Electricity,Electrical and Renewable Energy
C,A,B,F,D,B,Computer,Electrical and Computer Engineering
D,B,B,B,B,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,C,B,A,F,B,Computer,Electrical and Computer Engineering
F,A,A,D,D,B,Networks,Electrical and Computer Engineering
F,F,C,D,B,F,Electronics,Electronics and Telecommunication Engineering
D,B,C,F,C,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,B,C,B,F,B,Networks,Electrical and Computer Engineering
A,D,C,D,C,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,B,C,B,B,A,Computer,Electrical and Computer Engineering
B,B,D,F,F,B,Computer,Electrical and Computer Engineering
F,F,C,C,A,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,F,C,B,A,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,A,A,B,A,C,Computer,Electrical and Computer Engineering
D,C,A,F,D,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,F,C,C,A,C,Computer,Electrical and Computer Engineering
C,A,D,D,D,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,B,C,A,D,B,Electronics,Electronics and Telecommunication Engineering
F,A,C,F,B,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,A,C,A,A,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,A,F,C,F,C,Networks,Electrical and Computer Engineering
D,A,D,C,D,D,Electronics,Electronics and Telecommunication Engineering
C,F,B,B,B,C,Computer,Electrical and Computer Engineering
F,C,C,A,D,A,Computer,Electrical and Computer Engineering
C,A,B,A,F,D,Solar Electricity,Electrical and Renewable Energy
D,D,D,C,F,A,Electronics,Electronics and Telecommunication Engineering
C,B,C,A,A,D,Electronics,Electronics and Telecommunication Engineering
F,B,B,D,D,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,B,B,C,F,B,Networks,Electrical and Computer Engineering
F,B,D,B,C,B,Computer,Electrical and Computer Engineering
A,B,C,B,F,C,Computer,Electrical and Computer Engineering
B,A,F,B,F,D,Networks,Electrical and Computer Engineering
F,C,D,A,D,D,Networks,Electrical and Computer Engineering
F,D,F,C,F,A,Electronics,Electronics and Telecommunication Engineering
D,F,C,B,B,C,Networks,Electrical and Computer Engineering
C,D,B,C,F,C,Networks,Electrical and Computer Engineering
A,F,D,A,C,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,F,D,D,F,B,Electronics,Electronics and Telecommunication Engineering
D,D,D,D,A,D,Solar Electricity,Electrical and Renewable Energy
D,A,A,D,D,D,Solar Electricity,Electrical and Renewable Energy
C,B,C,A,C,F,Computer,Electrical and Computer Engineering
C,A,A,B,B,A,Networks,Electrical and Computer Engineering
F,B,D,A,F,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,C,D,C,F,F,Networks,Electrical and Computer Engineering
C,F,F,D,B,C,Computer,Electrical and Computer Engineering
D,D,A,C,F,A,Networks,Electrical and Computer Engineering
C,C,B,A,A,C,Solar Electricity,Electrical and Renewable Energy
A,B,C,F,C,B,Electronics,Electronics and Telecommunication Engineering
B,A,B,F,F,C,Networks,Electrical and Computer Engineering
F,D,B,A,B,A,Solar Electricity,Electrical and Renewable Energy
A,F,C,B,B,C,Solar Electricity,Electrical and Renewable Energy
A,C,D,C,C,B,Computer,Electrical and Computer Engineering
B,F,F,A,A,F,Electronics,Electronics and Telecommunication Engineering
F,B,D,A,C,A,Computer,Electrical and Computer Engineering
D,F,D,F,F,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,A,A,D,A,D,Electronics,Electronics and Telecommunication Engineering
C,C,B,D,A,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,C,B,B,B,F,Electronics,Electronics and Telecommunication Engineering
C,A,B,B,A,A,Solar Electricity,Electrical and Renewable Energy
D,F,F,B,F,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,A,F,F,F,D,Electronics,Electronics and Telecommunication Engineering
F,D,F,A,F,B,Electronics,Electronics and Telecommunication Engineering
C,A,C,B,D,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,F,F,F,A,A,Electronics,Electronics and Telecommunication Engineering
D,A,A,C,A,C,Computer,Electrical and Computer Engineering
D,B,A,A,F,C,Computer,Electrical and Computer Engineering
F,A,D,C,B,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,A,D,D,A,F,Solar Electricity,Electrical and Renewable Energy
A,F,D,D,D,C,Networks,Electrical and Computer Engineering
D,D,D,A,A,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,D,A,B,C,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,F,D,A,D,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,F,A,B,B,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,F,F,D,D,C,Computer,Electrical and Computer Engineering
C,B,F,A,D,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,C,C,A,A,F,Solar Electricity,Electrical and Renewable Energy
F,A,D,B,D,D,Networks,Electrical and Computer Engineering
D,F,F,D,F,F,Networks,Unknown
A,F,F,D,D,B,Solar Electricity,Electrical and Renewable Energy
D,F,B,B,A,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,D,B,B,F,A,Networks,Electrical and Computer Engineering
F,F,A,B,B,A,Computer,Electrical and Computer Engineering
F,A,C,D,C,D,Networks,Electrical and Computer Engineering
C,F,B,D,D,A,Solar Electricity,Electrical and Renewable Energy
